country_code,channel_id,channel_number,channel_name,channel_display_name,date,program_title,start_time,end_time,scraped_at,sport_category
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,FPC: Auckland v Manawatu,11:00PM,1:00AM,2026-09-26T03:46:40Z,Rugby Union
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,NPC: Auckland v Manawatu,1:00AM,3:00AM,2026-09-26T03:46:40Z,Rugby Union
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,Rugby Heaven,3:00AM,4:00AM,2026-09-26T03:46:40Z,Rugby Union
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,Davis Cup: New Zealand v Japan Hls,4:00AM,5:00AM,2026-09-26T03:46:40Z,Tennis
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,PSA Qatar Classic Hls,5:00AM,6:00AM,2026-09-26T03:46:40Z,Squash
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,NPC: Auckland v Manawatu,6:00AM,8:00AM,2026-09-26T03:46:40Z,Rugby Union
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,FPC: Auckland v Manawatu,8:00AM,10:00AM,2026-09-26T03:46:40Z,Rugby Union
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,AFL Bounce,10:00AM,11:50AM,2026-09-26T03:46:40Z,Aussie Rules
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,AFLW: Carlton v Richmond Hls,11:50AM,12:05PM,2026-09-26T03:46:40Z,Aussie Rules
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,FIA F1: Azerbaijan GP Qualifying Hls,12:05PM,12:20PM,2026-09-26T03:46:40Z,Motorsport
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,MOTD: Laver Cup Day 1 - Day Session,12:20PM,1:20PM,2026-09-26T03:46:40Z,Tennis
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,WSL: Lexus Trestles Pro HLs,1:20PM,2:05PM,2026-09-26T03:46:40Z,Surfing
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-26,Tauihi: Whai v Kahu,2:05PM,4:00PM,2026-09-26T03:46:40Z,Basketball
