channel_id,channel_number,channel_name,program_title,start_time,end_time,scraped_at
50,050,Sky Sports Select,Hundred M: Brave v Phoenix,1:00AM,4:35AM,2026-07-31T07:20:11
50,050,Sky Sports Select,Inside Sailing Ep.7,4:35AM,5:00AM,2026-07-31T07:20:11
50,050,Sky Sports Select,AFL: Collingwood v Geelong Hls,5:00AM,5:15AM,2026-07-31T07:20:11
50,050,Sky Sports Select,GSL: Qalandars v Unicorns Ext Hls,5:15AM,5:45AM,2026-07-31T07:20:11
50,050,Sky Sports Select,AFL: Collingwood v Geelong,5:45AM,8:15AM,2026-07-31T07:20:11
50,050,Sky Sports Select,HotelPlanner Tour Event Hls,8:15AM,8:45AM,2026-07-31T07:20:11
50,050,Sky Sports Select,GSL: Warriors v Scorchers Ext Hls,8:45AM,9:15AM,2026-07-31T07:20:11
50,050,Sky Sports Select,PFL New York: Weigh-In,9:15AM,10:15AM,2026-07-31T07:20:11
50,050,Sky Sports Select,NPC: Waikato v Bay of Plenty Hls,10:15AM,10:30AM,2026-07-31T07:20:11
50,050,Sky Sports Select,AIG Women's Open: R1,10:30AM,12:30PM,2026-07-31T07:20:11
51,051,Sky Sports 1,PGA Tour: The Cut,2:05AM,2:30AM,2026-07-31T07:20:11
51,051,Sky Sports 1,HotelPlanner Tour Event Hls,2:30AM,3:00AM,2026-07-31T07:20:11
51,051,Sky Sports 1,PGA Tour: Round 1,3:00AM,6:10AM,2026-07-31T07:20:11
51,051,Sky Sports 1,Korn Ferry Tour: Round 1,6:10AM,9:00AM,2026-07-31T07:20:11
51,051,Sky Sports 1,AIG Women's Open: R1 Hls,9:00AM,9:30AM,2026-07-31T07:20:11
51,051,Sky Sports 1,HotelPlanner Tour Event Hls,9:30AM,10:00AM,2026-07-31T07:20:11
51,051,Sky Sports 1,PGA Tour: Round 1 Hls,10:00AM,10:30AM,2026-07-31T07:20:11
51,051,Sky Sports 1,Sal's NBL: Saints v Nuggets EF2,10:30AM,12:25PM,2026-07-31T07:20:11
